web-scraper-order,web-scraper-start-url,pagination,detail
"1655803644-670","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海10月26日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院1例"
"1655803644-220","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年1月17日，无新增本土新冠肺炎确诊病例 新增境外输入17例  治愈出院13例"
"1655803644-99","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月2日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-848","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有4例确诊病例今日出院，共计652例治愈出院"
"1655803644-89","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月7日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-578","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月23日，新增本地新冠肺炎确诊病例3例 新增境外输入3例  治愈出院5例"
"1655803644-1040","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海公布2月10日（0-24时）确诊病例涉及区域和场所情况"
"1655803644-787","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海7月9日无新增本地新冠肺炎确诊病例 新增境外输入1例"
"1655803644-156","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月4日，新增本土新冠肺炎确诊病例268例 新增本土无症状感染者13086例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院27例"
"1655803644-36","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年6月5日，新增本土新冠肺炎确诊病例4例 新增本土无症状感染者4例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者3例"
"1655803644-594","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月9日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院3例"
"1655803644-1018","https://wsjkw.sh.gov.cn/yqtb/index.html","","总出院人数已达186例 ，上海今天又有9例确诊病例痊愈出院，另有1例患者死亡"
"1655803644-330","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年10月1日，无新增本地新冠肺炎确诊病例 新增境外输入9例  治愈出院6例"
"1655803644-782","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海7月13日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院1例"
"1655803644-52","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月27日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-813","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海昨日无新增本地新冠肺炎确诊病例，新增境外输入1例"
"1655803644-877","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海5月9日无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院3例"
"1655803644-148","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月8日，新增本土新冠肺炎确诊病例1015例 新增本土无症状感染者22609例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例 治愈出院119例"
"1655803644-638","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海11月26日无新增本地新冠肺炎确诊病例 新增境外输入3例"
"1655803644-558","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年2月12日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院6例"
"1655803644-826","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海6月8日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例"
"1655803644-1039","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有1例确诊病例2月11日下午出院"
"1655803644-361","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月27日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院8例"
"1655803644-321","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年10月10日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院3例"
"1655803644-835","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有1例确诊病例今日出院，共计661例治愈出院"
"1655803644-1047","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海新增1例新型冠状病毒感染的肺炎确诊病例"
"1655803644-914","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海4月18日无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院4例"
"1655803644-943","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海4月3日无新增本地新冠肺炎确诊病例 新增境外输入3例   治愈出院5例"
"1655803644-175","https://wsjkw.sh.gov.cn/yqtb/index.html","","3月25日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-995","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有4例确诊病例3月4日出院"
"1655803644-178","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年3月24日，新增本土新冠肺炎确诊病例29例 新增本土无症状感染者1580例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者5例 治愈出院63例  解除医学观察无症状感染者209例"
"1655803644-25","https://wsjkw.sh.gov.cn/yqtb/index.html","","6月10日（0-24时）本市各区确诊病例、无症状感染者居住地和当前全市风险地区信息"
"1655803644-168","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年3月29日，新增本土新冠肺炎确诊病例326例 新增本土无症状感染者5656例 新增境外输入性新冠肺炎确诊病例3例 新增境外输入性无症状感染者2例 治愈出院45例"
"1655803644-102","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年5月1日，新增本土新冠肺炎确诊病例727例 新增本土无症状感染者6606例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例"
"1655803644-909","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海4月21日无新增本地新冠肺炎确诊病例 新增境外输入1例"
"1655803644-357","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月31日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院6例"
"1655803644-584","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月19日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院3例"
"1655803644-206","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年1月30日，无新增本土新冠肺炎确诊病例 新增境外输入10例  治愈出院23例"
"1655803644-259","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月10日，无新增本土新冠肺炎确诊病例 新增境外输入6例  治愈出院9例"
"1655803644-719","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月7日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院3例"
"1655803644-729","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海8月28日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院7例"
"1655803644-146","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月9日，新增本土新冠肺炎确诊病例1006例 新增本土无症状感染者23937例 新增境外输入性新冠肺炎确诊病例9例 新增境外输入性无症状感染者2例 治愈出院227例"
"1655803644-754","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海8月5日无新增本地新冠肺炎确诊病例 新增境外输入5例"
"1655803644-533","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院1例"
"1655803644-93","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月5日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-627","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月7日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院5例"
"1655803644-503","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年4月12日，无新增本地新冠肺炎确诊病例 新增境外输入1例"
"1655803644-614","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月20日无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院5例"
"1655803644-76","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年5月14日，新增本土新冠肺炎确诊病例166例 新增本土无症状感染者1203例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者2例"
"1655803644-37","https://wsjkw.sh.gov.cn/yqtb/index.html","","6月4日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-869","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海5月14日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 新增治愈出院5例"
"1655803644-49","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年5月29日，新增本土新冠肺炎确诊病例6例 新增本土无症状感染者61例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者2例"
"1655803644-951","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有4例确诊病例今日出院，共计338例治愈出院"
"1655803644-543","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月1日，无新增本地新冠肺炎确诊病例 新增境外输入1例 治愈出院5例"
"1655803644-523","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月21日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院3例"
"1655803644-690","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海10月6日无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院2例"
"1655803644-602","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月1日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院8例"
"1655803644-346","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年9月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院9例"
"1655803644-514","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月31日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院1例"
"1655803644-67","https://wsjkw.sh.gov.cn/yqtb/index.html","","【最新】5月19日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-535","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月9日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院1例"
"1655803644-9","https://wsjkw.sh.gov.cn/yqtb/index.html","","【最新】6月17日（0-24时）本市各区确诊病例、无症状感染者居住地和当前全市风险地区信息"
"1655803644-473","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月12日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院5例"
"1655803644-44","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月31日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-449","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年6月5日，无新增本地新冠肺炎确诊病例 新增境外输入7例 治愈出院3例"
"1655803644-198","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年3月11日，新增本土新冠肺炎确诊病例5例 新增本土无症状感染者78例 新增境外输入性新冠肺炎确诊病例22例 新增境外输入性无症状感染者9例 治愈出院20例  解除医学观察无症状感染者3例"
"1655803644-288","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年11月13日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院5例"
"1655803644-971","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有1例确诊病例今日出院，共计326例治愈出院"
"1655803644-559","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年2月11日，无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院7例"
"1655803644-185","https://wsjkw.sh.gov.cn/yqtb/index.html","","3月20日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-444","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年6月10日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院4例"
"1655803644-816","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有1例确诊病例今日出院，共计668例治愈出院"
"1655803644-264","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月6日，无新增本土新冠肺炎确诊病例 新增境外输入5例  治愈出院10例"
"1655803644-123","https://wsjkw.sh.gov.cn/yqtb/index.html","","4月20日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-710","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月16日无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院5例"
"1655803644-1063","https://wsjkw.sh.gov.cn/yqtb/index.html","","快讯！上海今天又有2例确诊病例痊愈出院，目前共有12例出院"
"1655803644-481","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月4日，无新增本地新冠肺炎确诊病例 无新增境外输入病例 治愈出院4例"
"1655803644-443","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年6月11日，无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院4例"
"1655803644-829","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海6月5日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院1例"
"1655803644-630","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月4日无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院3例"
"1655803644-369","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月21日，新增本地新冠肺炎确诊病例3例 新增境外输入9例  治愈出院1例"
"1655803644-410","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年7月15日，无新增本地新冠肺炎确诊病例 新增境外输入6例"
"1655803644-713","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月13日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院7例"
"1655803644-267","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月3日，无新增本土新冠肺炎确诊病例 新增本土无症状感染者1例  新增境外输入6例 治愈出院4例"
"1655803644-68","https://wsjkw.sh.gov.cn/yqtb/index.html","","【最新】5月18日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-651","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海11月14日无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院7例"
"1655803644-945","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海4月2日无新增本地新冠肺炎确诊病例 新增境外输入4例"
"1655803644-362","https://wsjkw.sh.gov.cn/yqtb/index.html","","本市筛查8月26日确诊本土病例相关人员11938人，核酸检测结果均为阴性"
"1655803644-609","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月25日无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院3例"
"1655803644-973","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海昨日无新增本地新冠肺炎确诊病例，新增境外输入3例，治愈出院1例"
"1655803644-802","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海6月28日无新增本地新冠肺炎确诊病例 新增境外输入1例"
"1655803644-808","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海6月23日无新增本地新冠肺炎确诊病例 新增境外输入2例"
"1655803644-18","https://wsjkw.sh.gov.cn/yqtb/index.html","","6月13日（0-24时）本市各区确诊病例、无症状感染者居住地和当前全市风险地区信息"
"1655803644-294","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年11月6日，无新增本地新冠肺炎确诊病例 新增境外输入3例  治愈出院1例"
"1655803644-375","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月18日，新增本地新冠肺炎确诊病例1例 新增境外输入5例  治愈出院6例"
"1655803644-982","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海公布3月12日（0-24时）确诊病例涉及区域和场所情况"
"1655803644-935","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有11例确诊病例今日出院，共计417例治愈出院"
"1655803644-226","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年1月11日，无新增本土新冠肺炎确诊病例 新增境外输入性新冠肺炎确诊病例20例 新增境外输入性无症状感染者1例 治愈出院12例"
"1655803644-586","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月17日，无新增本地新冠肺炎确诊病例 新增境外输入4例  治愈出院6例"
"1655803644-923","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有10例确诊病例今日出院，共计468例治愈出院"
"1655803644-275","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年11月26日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院3例"
"1655803644-64","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年5月21日，新增本土新冠肺炎确诊病例52例 新增本土无症状感染者570例 新增境外输入性新冠肺炎确诊病例1例 新增境外输入性无症状感染者3例"
"1655803644-629","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月5日无新增本地新冠肺炎确诊病例 新增境外输入6例 治愈出院3例"
"1655803644-456","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月29日，无新增本地新冠肺炎确诊病例 新增境外输入5例 治愈出院1例"
"1655803644-16","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年6月14日，新增本土新冠肺炎确诊病例13例 新增本土无症状感染者2例 新增境外输入性新冠肺炎确诊病例5例 新增境外输入性无症状感染者4例"
"1655803644-463","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月22日，无新增本地新冠肺炎确诊病例 新增境外输入4例 治愈出院1例"
"1655803644-1043","https://wsjkw.sh.gov.cn/yqtb/index.html","","快讯！上海公布2月9日（0-24时）确诊病例涉及区域和场所情况"
"1655803644-392","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月2日，新增本地新冠肺炎确诊病例1例 新增境外输入3例 治愈出院4例"
"1655803644-125","https://wsjkw.sh.gov.cn/yqtb/index.html","","4月19日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-992","https://wsjkw.sh.gov.cn/yqtb/index.html","","出院率超9成！上海今天又有3例确诊病例痊愈出院，累计出院306人"
"1655803644-579","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月22日，新增本地新冠肺炎确诊病例3例 新增境外输入8例  治愈出院1例"
"1655803644-28","https://wsjkw.sh.gov.cn/yqtb/index.html","","6月9日（0-24时）本市各区确诊病例、无症状感染者居住地和当前全市风险地区信息"
"1655803644-116","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月24日，新增本土新冠肺炎确诊病例2472例 新增本土无症状感染者16983例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者1例"
"1655803644-219","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年1月18日,无新增本土新冠肺炎确诊病例 新增境外输入15例  治愈出院13例"
"1655803644-493","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年4月22日，无新增本地新冠肺炎确诊病例 新增境外输入5例 治愈出院4例"
"1655803644-318","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年10月13日，无新增本地新冠肺炎确诊病例 新增境外输入1例  治愈出院1例"
"1655803644-486","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年4月29日，无新增本地新冠肺炎确诊病例 新增境外输入7例 治愈出院3例"
"1655803644-721","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月5日无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院6例"
"1655803644-298","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年11月1日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院9例"
"1655803644-39","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年6月3日，新增本土新冠肺炎确诊病例5例 新增本土无症状感染者9例 新增境外输入性新冠肺炎确诊病例2例 新增境外输入性无症状感染者1例"
"1655803644-227","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年1月10日，无新增本土新冠肺炎确诊病例 新增境外输入27例  治愈出院4例"
"1655803644-474","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月11日，无新增本地新冠肺炎确诊病例 新增境外输入3例 治愈出院3例"
"1655803644-658","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海11月7日无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院14例"
"1655803644-632","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海12月2日无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院1例"
"1655803644-172","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年3月27日，新增本土新冠肺炎确诊病例50例 新增本土无症状感染者3450例 新增境外输入性新冠肺炎确诊病例10例 新增境外输入性无症状感染者4例 治愈出院37例"
"1655803644-118","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月23日，新增本土新冠肺炎确诊病例1401例 新增本土无症状感染者19657例 无新增境外输入性新冠肺炎确诊病例 无新增境外输入性无症状感染者"
"1655803644-970","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海昨日无新增本地新冠肺炎确诊病例，新增境外输入2例，治愈出院1例"
"1655803644-590","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月13日，无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院4例"
"1655803644-112","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月26日，新增本土新冠肺炎确诊病例1606例 新增本土无症状感染者11956例 无新增境外输入性新冠肺炎确诊病例 无新增境外输入性无症状感染者"
"1655803644-1072","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海今天有两例确诊病例痊愈出院"
"1655803644-705","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月21日无新增本地新冠肺炎确诊病例 新增境外输入1例   治愈出院4例"
"1655803644-72","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年5月16日，新增本土新冠肺炎确诊病例77例 新增本土无症状感染者746例 无新增境外输入性新冠肺炎确诊病例 新增境外输入性无症状感染者2例"
"1655803644-1025","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海公布2月15日（0-24时） 确诊病例涉及区域和场所情况"
"1655803644-13","https://wsjkw.sh.gov.cn/yqtb/index.html","","6月15日（0-24时）本市各区确诊病例、无症状感染者居住地和当前全市风险地区信息"
"1655803644-237","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月31日，无新增本土新冠肺炎确诊病例 新增境外输入10例 治愈出院6例"
"1655803644-134","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月15日，新增本土新冠肺炎确诊病例3590例 新增本土无症状感染者19923例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者2例"
"1655803644-484","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月1日，无新增本地新冠肺炎确诊病例 新增境外输入4例 治愈出院3例"
"1655803644-137","https://wsjkw.sh.gov.cn/yqtb/index.html","","4月13日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-532","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年3月12日，无新增本地新冠肺炎确诊病例 新增境外输入2例 治愈出院1例"
"1655803644-366","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月24日，新增本地新冠肺炎确诊病例2例 新增境外输入4例  治愈出院4例"
"1655803644-974","https://wsjkw.sh.gov.cn/yqtb/index.html","","今天0-12时，上海无新增新冠肺炎确诊病例"
"1655803644-157","https://wsjkw.sh.gov.cn/yqtb/index.html","","4月3日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-457","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年5月28日，无新增本地新冠肺炎确诊病例 新增境外输入7例  治愈出院4例"
"1655803644-395","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年7月30日，无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院2例"
"1655803644-572","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月29日，新增本地新冠肺炎确诊病例2例 新增境外输入9例  治愈出院4例"
"1655803644-255","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月14日，无新增本土新冠肺炎确诊病例 新增境外输入3例  治愈出院2例"
"1655803644-194","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年3月14日，新增本土新冠肺炎确诊病例9例 新增本土无症状感染者130例 新增境外输入性新冠肺炎确诊病例12例 新增境外输入性无症状感染者3例 治愈出院15例  解除医学观察无症状感染者9例"
"1655803644-913","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有5例确诊病例今日出院，共计521例治愈出院"
"1655803644-1010","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海公布2月22日（0-24时） 确诊病例涉及区域和场所情况"
"1655803644-716","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海9月10日无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院6例"
"1655803644-272","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年11月29日，无新增本土新冠肺炎确诊病例 无新增境外输入病例  治愈出院8例"
"1655803644-140","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月12日，新增本土新冠肺炎确诊病例1189例 新增本土无症状感染者25141例 新增境外输入性新冠肺炎确诊病例1例 无新增境外输入性无症状感染者 治愈出院341例"
"1655803644-1037","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海新增5例新型冠状病毒肺炎确诊病例"
"1655803644-944","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有5例确诊病例今日出院，共计348例治愈出院"
"1655803644-1009","https://wsjkw.sh.gov.cn/yqtb/index.html","","出院率超74％！上海今天又有22例确诊病例痊愈出院"
"1655803644-305","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年10月25日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院6例"
"1655803644-169","https://wsjkw.sh.gov.cn/yqtb/index.html","","3月28日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
